name,type_of_place,center_type,designation_year,information
Bellevue High School,Planning Academy School,Bellevue School District,1949,"Bellevue High School is one of four comprehensive public high schools in the Seattle suburb of Bellevue, Washington. Accreditation: Northwest Association of Secondary and Higher Schools, Office of the Superintendent of Public Instruction. Memberships: The College Board, Pacific Northwest Association of College Admissions Counselors"
Interlake High School,Planning Academy School,Bellevue School District,1968,Interlake High School is a comprehensive four-year public high school enrolling 1588 students in grades nine through twelve. The school opened in the fall of 1967 and graduated its first senior class in the spring of 1969. Interlake is accredited by the Northwest Association of Schools and Colleges and the Office of the Superintendent of Public Instruction.
Newport High School,Planning Academy School,Bellevue School District,1964,"Our mission is to provide each and every student with an exemplary educational foundation that inspires them to discover their individual passions, achieve their goals, and become capable, contributing members of society."
Sammamish High School,Planning Academy School,Bellevue School District,1959,Our mission is for students and staff to develop an individual and collective purpose while supporting each other to achieve continued academic excellence and personal growth.
Clover Park High School,Planning Academy School,Clover Park School District,1938,"Clover Park High School is a diverse learning community where students develop knowledge, perseverance and skills to become lifelong learners focused on serving and leading in a global society."
Lakes High School,Planning Academy School,Clover Park School District,1962,Our vision is to empower students to become lifelong learners and engaged global citizens.
Edmonds-Woodway High School,Planning Academy School,Edmonds School District,1998,"Edmonds-Woodway High School is a 4-year high school serving the 9th - 12th grade students who reside in the service area described on the district Boundary Maps website. In addition, Edmonds-Woodway houses the International Baccalaureate program and Deaf and Hard of Hearing program for neighboring communities."
Lynnwood High School,Planning Academy School,Edmonds School District,2009,Our focus is on the kids. We believe that engaged students translate into optimized learning and that everyone should feel comfortable and accepted at school.
Meadowdale High School,Planning Academy School,Edmonds School District,1997,Meadowdale High School is a public school in the Edmonds School district serving students in grades 9 through 12. 
Mountlake Terrace High School,Planning Academy School,Edmonds School District,1991,Mountlake Terrace High School is is a public school in the Edmonds School District serving students in grades 9-12.  Mountlake Terrace High School Houses the Science Technology Engineering and Math (STEM)  program for the Edmonds School District.  
Cascade High School,Planning Academy School,Everett School District,1961,"Cascade High School was built in 1961 and modernized in 2000, thanks to generous voter support for schools and students. About 1,700 students in grades nine through 12 are Cascade High School Bruins. Students have access to challenging courses, a rich array of extracurricular activities and athletic programs."
Everett High School,Planning Academy School,Everett School District,1909,"Built in 1909, Everett High School’s main building was placed on the national Registry of historic places after extensive renovation in 1995. Everett High students in grades nine through 12 also attend classes in the Little Theater, Everett Civic Auditorium, gym, cafeteria and science building. Everett High’s central location and modern facilities are frequent sites for community, state and national events. Our school colors are blue and gold, and our mascot is a seagull."
Henry M. Jackson High School,Planning Academy School,Everett School District,1994,"Built in 1994, Henry M. Jackson High School is the district’s newest high school, located in the fastest growing region of the school district. Approximately 2,100 Timberwolves in grades nine through 12 attend Henry M. Jackson High School. In 2011, the school’s new cafeteria and annex opened as a central gathering place for students and the community."
Franklin Pierce High School,Planning Academy School,Franklin Pierce School District,1952,"We are committed to providing the best possible educational experience for our students. To achieve this, we will focus on Standards-Based Instruction, setting clear learning objectives and transparent expectations. By embracing Universal Design for Learning, we will accommodate diverse learning preferences and ensure that all students can access and engage with the curriculum effectively. Alongside these efforts, we will continue our journey of Culturally Responsive Teaching, integrating diverse perspectives into the classroom, and celebrating the richness of our students' cultural backgrounds."
Washington High School,Planning Academy School,Franklin Pierce School District,1969,"As educators, our primary duty is to engage each student in meaningful, challenging, and rewarding educational experiences in a safe learning environment. We are committed to supporting your student on their path to graduation and success after high school."
Evergreen High School,Planning Academy School,Highline School District,1955,Evergreen High School is a community-centered school where ALL strive for excellence in service of student achievement. 
Highline High School,Planning Academy School,Highline School District,2021,"At Highline High School, we work to provide a rigorous and relevant education that prepares our students for college, career, and beyond. We strive to build an antiracist, socially just institution that uses education as the tool for dismantling systems of oppression and promoting equity. We honor our diverse community by cultivating a learning environment that celebrates the unique backgrounds, experiences, and perspectives of our students and staff. We aim to provide a safe and inclusive environment where every student is valued, supported, and empowered to grow into resilient, creative thinkers with the skills, knowledge, and mindsets to achieve their goals and build fulfilling futures."
Mount Rainier High School,Planning Academy School,Highline School District,2007,"Mount Rainier High School promotes the growth of every student and seeks to create principled, knowledgeable, and inquisitive graduates empowered to lead productive and caring lives in a global society."
Tyee High School,Planning Academy School,Highline School District,1962,Tyee High School challenges and empowers students to uplift their communities and thrive in the world.
Issaquah High School,Planning Academy School,Issaquah School District,1962,Issaquah High School prepares students to fly when they leave the nest by inspiring students to reach their full potential and become lifelong learners who positively impact the world and community in which they live.
Liberty High School,Planning Academy School,Issaquah School District,1977,"We are a community committed to educating all students by promoting critical thinking, supporting individual needs, and fostering a sense of belonging with a goal of preparing students to achieve personal success and to become meaningful contributors to society."
